Ah,T,P,V,Time
-0.26033,24.92257,-1.0418914589,4.07929,400.005997717381
-0.2604,24.92257,-1.0312360825,4.07845,400.99999755621
-0.26047,24.92257,-1.041459816,4.0776,402.007998526096
-0.26054,24.92257,-1.0933510874,4.07693,402.997995167971
-0.26077,24.92257,-10.7726630788,4.06732,404.00399453938
-0.26151,24.92257,-14.834466768,4.0503,404.995992779732
-0.26277,24.92257,-23.9281264874,4.02602,406.012995913625
-0.26457,24.92257,-26.0675926805,4.00715,406.996997818351
-0.26691,24.92257,-41.90089929,3.979,407.999999821186
-0.26987,24.92257,-47.76609159,3.9522,409.008000791073
-0.27337,24.92257,-49.1739077447,3.93079,410.005993768573
-0.27668,24.92257,-41.3849272078,3.93382,411.000999435782
-0.27775,24.92257,-15.4966989812,4.01018,411.998992413282
-0.28052,24.92257,-35.2508171946,3.94899,412.995999678969
-0.28295,24.92257,-26.4449137344,3.96096,414.000993221998
-0.2848,24.92257,-11.3744220886,3.98338,415.007998421788
-0.28545,24.92257,-9.04018434,4.02215,415.996999293566
-0.28579,24.92257,-1.134094008,4.03664,417.003994435072
-0.28587,24.92257,0,4.0476,418.001997470856
-0.28584,24.92257,0.6109952085,4.05465,419.005995243788
-0.28569,24.92257,3.404130105,4.06342,419.99899931252
-0.28522,24.92257,39.8696690556,4.09174,421.005994454026
-0.28256,24.92257,39.5758004664,4.15748,421.998998522758
-0.27993,24.92257,34.0099899288,4.16118,423.014000058174
-0.27769,24.92257,28.3006919033,4.15309,424.0089956671
-0.27577,24.92257,24.6612160092,4.14399,425.004997104406
-0.27425,24.92257,22.6936766945,4.13455,425.996995344758
-0.27309,24.92257,11.722695864,4.12005,427.004000544548
-0.27233,24.92257,7.6808252825,4.10825,427.9959987849
-0.27195,24.92257,0,4.09443,428.995993360877
-0.27195,24.92257,-0.208396184,4.0798,430.00099696219
-0.27202,24.92257,-1.030722797,4.07642,431.004994735122
-0.27209,24.92257,-1.0409004681,4.07541,432.00700096786
-0.27216,24.92257,-1.030298009,4.07474,433.00499394536
-0.27223,24.92257,-1.0301690555,4.07423,434.003992751241
-0.2723,24.92257,-1.0404713793,4.07373,434.996996819973
-0.27237,24.92257,-1.0403411202,4.07322,436.007995158434
-0.27244,24.92257,-1.029827708,4.07288,437.009991332889
-0.27251,24.92257,-1.029787252,4.07272,438.002995401621
-0.27259,24.92257,-1.0401265758,4.07238,438.99699524045
-0.27265,25.02773,-1.0400831561,4.07221,440.006997808814
-0.27273,25.02773,-1.0399963167,4.07187,441.007998213172
-0.2728,25.02773,-1.029529345,4.0717,442.003999650478
-0.27287,25.02773,-1.0399120314,4.07154,442.996993660927
-0.27294,25.02773,-1.0398686117,4.07137,443.994996696711
-0.27301,25.02773,-1.02940292,4.0712,445.001991838217
-0.27308,25.02773,-1.0293599355,4.07103,446.001996472478
-0.27315,25.02773,-1.0397817723,4.07103,446.995996311307
-0.27322,25.02773,-1.8395542026,4.06918,448.002991452813
-0.27354,25.02773,-8.8557840833,4.06007,449.005993455648
-0.27439,25.02773,-12.3951764156,4.04086,449.998997524381
-0.27576,25.02773,-27.6927036696,4.01574,451.005992665887
-0.2777,25.02773,-35.5853530504,3.99332,451.998996734619
-0.28018,25.02773,-43.0936825415,3.96905,453.000992909074
-0.28324,24.92257,-50.0126157549,3.94309,453.994992747903
-0.28688,24.92257,-60.3195208602,3.91461,455.00299371779
-0.29121,24.92257,-38.272842308,3.8932,455.994991958141
